zone,date,description,score_key,value
boston-msa,2020-11-15,pop_white,C000_P_c45_AM_autoN_fareN,80155.8
boston-msa,2020-12-20,pop_white,C000_P_c45_AM_autoN_fareN,87372.055
boston-msa,2021-01-17,pop_white,C000_P_c45_AM_autoN_fareN,86680.516
boston-msa,2021-02-21,pop_white,C000_P_c45_AM_autoN_fareN,86255.14
boston-msa,2021-07-11,pop_white,C000_P_c45_AM_autoN_fareN,92241.51
boston-msa,2021-09-12,pop_white,C000_P_c45_AM_autoN_fareN,96201.53
boston-msa,2022-03-27,pop_white,C000_P_c45_AM_autoN_fareN,92039.03
boston-msa,2022-08-07,pop_white,C000_P_c45_AM_autoN_fareN,87143.38
boston-msa,2020-02-23,workers_essential,C000_P_c45_AM_autoN_fareN,98885.98
boston-msa,2020-03-15,workers_essential,C000_P_c45_AM_autoN_fareN,96071.125
boston-msa,2020-04-19,workers_essential,C000_P_c45_AM_autoN_fareN,104256.414
boston-msa,2020-05-10,workers_essential,C000_P_c45_AM_autoN_fareN,106715.875
boston-msa,2020-06-21,workers_essential,C000_P_c45_AM_autoN_fareN,106165.586
boston-msa,2020-07-19,workers_essential,C000_P_c45_AM_autoN_fareN,104842.84
boston-msa,2020-08-16,workers_essential,C000_P_c45_AM_autoN_fareN,104757.47
boston-msa,2020-09-20,workers_essential,C000_P_c45_AM_autoN_fareN,95975.46
boston-msa,2020-10-18,workers_essential,C000_P_c45_AM_autoN_fareN,97914.055
boston-msa,2020-11-15,workers_essential,C000_P_c45_AM_autoN_fareN,97653.45
boston-msa,2020-12-20,workers_essential,C000_P_c45_AM_autoN_fareN,104812.19
boston-msa,2021-01-17,workers_essential,C000_P_c45_AM_autoN_fareN,103973.68
boston-msa,2021-02-21,workers_essential,C000_P_c45_AM_autoN_fareN,103331.57
boston-msa,2021-07-11,workers_essential,C000_P_c45_AM_autoN_fareN,113241.19
boston-msa,2021-09-12,workers_essential,C000_P_c45_AM_autoN_fareN,118425.65
boston-msa,2022-03-27,workers_essential,C000_P_c45_AM_autoN_fareN,112429.445
boston-msa,2022-08-07,workers_essential,C000_P_c45_AM_autoN_fareN,105852.64
boston-msa,2020-02-23,hhld_single_mother,C000_P_c45_AM_autoN_fareY,67136.26
boston-msa,2020-03-15,hhld_single_mother,C000_P_c45_AM_autoN_fareY,67065.88
boston-msa,2020-04-19,hhld_single_mother,C000_P_c45_AM_autoN_fareY,72909.195
boston-msa,2020-05-10,hhld_single_mother,C000_P_c45_AM_autoN_fareY,74031.61
boston-msa,2020-06-21,hhld_single_mother,C000_P_c45_AM_autoN_fareY,76300.51
boston-msa,2020-07-19,hhld_single_mother,C000_P_c45_AM_autoN_fareY,76430.71
boston-msa,2020-08-16,hhld_single_mother,C000_P_c45_AM_autoN_fareY,75345.71
boston-msa,2020-09-20,hhld_single_mother,C000_P_c45_AM_autoN_fareY,66999.3
boston-msa,2020-10-18,hhld_single_mother,C000_P_c45_AM_autoN_fareY,67830.68
boston-msa,2020-11-15,hhld_single_mother,C000_P_c45_AM_autoN_fareY,68459.94
boston-msa,2020-12-20,hhld_single_mother,C000_P_c45_AM_autoN_fareY,70804.7
boston-msa,2021-01-17,hhld_single_mother,C000_P_c45_AM_autoN_fareY,70055.83
boston-msa,2021-02-21,hhld_single_mother,C000_P_c45_AM_autoN_fareY,68975.914
boston-msa,2021-07-11,hhld_single_mother,C000_P_c45_AM_autoN_fareY,79519.766
boston-msa,2021-09-12,hhld_single_mother,C000_P_c45_AM_autoN_fareY,83595.89
boston-msa,2022-03-27,hhld_single_mother,C000_P_c45_AM_autoN_fareY,76798.86
boston-msa,2022-08-07,hhld_single_mother,C000_P_c45_AM_autoN_fareY,74415.37
