Calendar_Year,Calendar_Month,Mode,Average_Daily_Ridership,Source,ObjectId
2022,3,Regional Rail,54994,Revenue,289
2022,3,Trackless Trolley,9530,Revenue,290
2022,3,Trolley,38122,Revenue_Estimate,291
2022,4,Bus,297311,APC,292
2022,4,CCT,2677,Revenue,293
2022,4,Heavy Rail,143797,Revenue,294
2022,4,Regional Rail,54044,Revenue,295
2022,4,Trackless Trolley,8766,Revenue,296
2022,4,Trolley,35922,Revenue_Estimate,297
2022,5,Bus,313650,APC,298
2022,5,CCT,2714,Revenue,299
2022,5,Heavy Rail,140826,Revenue,300
2022,5,Regional Rail,51962,Revenue,301
2022,5,Trackless Trolley,8961,Revenue,302
2022,5,Trolley,38581,Revenue_Estimate,303
2022,6,Bus,262689,APC,304
2022,6,CCT,2631,Revenue,305
2022,6,Heavy Rail,130480,Revenue,306
2022,6,Regional Rail,55791,Revenue,307
2022,6,Trackless Trolley,8350,Revenue,308
2022,6,Trolley,35000,Revenue_Estimate,309
2022,7,Bus,272936,APC,310
2022,7,CCT,2743,Revenue,311
2022,7,Heavy Rail,120182,Revenue,312
2022,7,Regional Rail,51583,Revenue,313
2022,7,Trackless Trolley,7557,Revenue,314
2022,7,Trolley,34354,Revenue_Estimate,315
2022,8,Bus,272216,APC,316
2022,8,CCT,2742,Revenue,317
2022,8,Heavy Rail,128345,Revenue,318
2022,8,Regional Rail,53394,Revenue,319
2022,8,Trackless Trolley,7586,Revenue,320
2022,8,Trolley,44765,Revenue_Estimate,321
2022,9,Bus,341880,APC,322
2022,9,CCT,2864,Revenue,323
2022,9,Heavy Rail,147378,Revenue,324
2022,9,Regional Rail,62122,Revenue,325
2022,9,Trackless Trolley,9073,Revenue,326
2022,9,Trolley,39475,Revenue_Estimate,327
2022,10,Bus,340544,APC,328
2022,10,CCT,2857,Revenue,329
2022,10,Heavy Rail,156381,Revenue,330
2022,10,Regional Rail,63954,Revenue,331
2022,10,Trackless Trolley,9366,Revenue,332
2022,10,Trolley,39046,Revenue_Estimate,333
2022,11,Bus,338481,APC,334
2022,11,CCT,2851,Revenue,335
2022,11,Heavy Rail,145873,Revenue,336
2022,11,Regional Rail,64215,Revenue,337
2022,11,Trackless Trolley,9003,Revenue,338
2022,11,Trolley,40666,Revenue_Estimate,339
2022,12,Bus,299614,APC,340
2022,12,CCT,2869,Revenue,341
2022,12,Heavy Rail,136539,Revenue,342
