block_group,hhld_nocar,hhld_single_mother,hhld_total,hhld_total_w_chld,pop_asiapacific,pop_black,pop_hispanic,pop_indig,pop_otherrace,pop_poverty,pop_total,pop_white,workers_all,workers_essential
250056527003,141,28,407,150,0,49,69,0,160,271,934,656,432,250
250056527004,114,82,331,172,0,148,233,0,229,377,936,326,313,181
250056528001,53,24,481,70,0,17,130,0,0,128,1095,948,673,382
250056528002,49,75,444,100,0,58,0,0,59,59,983,866,615,329
250056528003,39,14,358,91,0,0,105,0,35,106,724,584,561,308
250056531011,57,60,401,115,63,38,6,0,33,72,971,831,509,276
250056531012,67,0,467,79,0,23,0,0,69,47,901,809,683,373
250056531013,192,290,1330,487,75,31,21,0,66,596,3074,2881,1376,735
250056531014,79,25,548,195,0,0,0,7,23,62,1797,1767,709,384
250056531021,19,43,739,298,0,0,0,0,156,177,2482,2326,1074,571
250056531022,19,35,716,290,63,233,267,1,105,58,3213,2544,1528,806
250056532031,44,71,482,135,0,0,48,0,11,208,1336,1277,641,347
250056532032,56,17,619,148,82,8,0,0,12,146,1506,1404,758,404
250056532033,47,0,516,112,21,0,12,0,19,60,1177,1125,767,416
250056532034,34,70,375,131,12,0,0,0,0,100,874,862,415,239
250056532041,34,75,1231,426,135,26,76,2,251,184,3352,2862,1732,923
250056533011,31,23,476,98,0,0,0,0,20,57,1124,1104,658,352
250056533012,13,14,208,73,0,0,0,0,0,16,538,538,247,122
250056533013,49,20,761,50,68,0,21,0,0,110,1283,1194,604,311
250056533014,24,39,377,96,111,0,16,0,39,168,943,777,350,185
250056533015,28,17,430,126,1,17,0,0,13,4,1199,1168,422,219
250056533041,7,0,439,166,72,0,0,0,0,45,1152,1080,549,280
250056533042,14,35,854,188,0,18,0,0,35,12,2012,1959,1058,559
250056541001,15,46,558,82,0,0,0,0,55,73,1481,1426,984,525
250056541002,6,22,247,81,0,0,0,0,33,64,564,531,316,161
250056541003,18,0,679,181,0,0,125,0,349,28,1934,1460,979,501
250056541004,31,62,1126,360,133,0,0,0,20,30,3072,2919,1455,780
250056542001,27,0,298,66,0,0,61,0,6,59,735,668,462,249
250056542002,50,31,550,96,10,0,0,0,52,176,1222,1160,634,360
250056542003,54,62,593,166,21,8,167,0,110,82,1475,1169,671,372
250056551001,13,9,490,144,0,41,0,0,0,97,1167,1126,759,408
250056551002,23,28,828,267,4,0,8,0,28,32,2511,2471,1168,627
250056551003,5,0,183,61,0,0,0,0,46,42,476,430,317,175
250056552001,39,14,485,210,191,0,126,0,18,84,1361,1026,568,325
250056552002,33,0,411,101,201,1,4,0,4,39,1370,1160,554,306
250056552003,32,0,398,126,0,14,100,0,139,67,946,693,396,218
250056552004,31,0,388,0,0,0,0,0,0,5,597,597,376,208
250056552005,26,51,323,161,171,0,0,0,231,233,926,524,334,195
250056553001,66,8,522,68,0,0,15,0,0,47,1010,995,727,399
250056553002,60,27,475,147,34,15,0,0,86,134,1245,1110,436,241
250056553003,50,65,399,136,0,2,17,0,4,79,1021,998,551,288
250056554001,42,27,532,149,0,0,7,0,9,21,1180,1164,683,371
250056554002,33,22,414,77,0,0,0,0,28,136,943,915,494,272
250056554003,23,0,295,29,0,0,13,0,18,55,601,570,414,226
250056554004,27,9,348,35,0,0,13,0,0,111,672,659,447,248
250059855001,0,12,451,113,176,518,331,0,191,65,5352,4136,1396,720
250059856001,45,87,1324,499,112,95,242,0,47,110,5390,4894,2245,1071
250092011001,12,11,247,30,0,0,0,0,0,0,442,442,358,183
250092011002,11,10,228,26,24,0,11,0,1,49,490,454,308,156
250092011003,19,0,384,66,14,4,12,0,10,22,951,911,473,242
250092011004,35,83,713,170,11,31,33,0,17,39,1612,1520,742,358
250092021011,10,0,256,106,27,0,15,0,0,11,722,680,370,179
250092021012,9,23,219,89,13,0,0,0,12,0,531,506,347,165
250092021013,13,14,316,133,9,84,0,0,58,57,859,708,350,167
250092021021,27,57,353,167,14,34,0,0,0,61,1094,1046,584,284
250092021022,44,44,587,238,15,0,172,0,6,12,1532,1339,754,375
250092021023,61,24,797,116,0,0,36,0,0,128,1704,1668,967,497
250092021024,31,0,411,105,0,10,20,0,0,43,1016,986,391,193
250092021025,23,99,306,171,0,0,136,0,289,57,1310,885,331,155
250092022001,9,0,234,97,25,0,19,0,0,0,676,632,400,181
250092022002,17,0,444,120,0,0,0,0,0,32,1082,1082,456,219
250092022003,9,0,231,80,0,0,0,0,0,0,744,744,373,179
250092022004,27,0,690,156,0,0,39,0,17,37,1679,1623,668,340
250092022005,15,0,376,162,0,0,56,0,0,0,1095,1039,434,222
250092022006,11,0,275,114,0,0,0,0,23,0,711,688,322,156
250092031001,5,13,310,118,29,0,9,0,60,0,954,856,508,250
250092031002,7,108,379,196,0,0,253,0,0,26,1037,784,484,238
250092031003,4,17,220,74,27,0,0,0,0,0,525,498,322,156
250092031004,6,17,357,99,58,0,13,0,0,116,1011,940,502,235
250092031005,6,0,312,161,0,0,84,0,0,21,1010,926,425,203
250092031006,5,0,306,147,31,0,52,0,37,0,924,804,285,127
250092031007,5,14,302,118,16,144,0,0,0,0,843,683,302,139
250092031008,4,0,257,73,0,0,0,0,0,0,656,656,361,160
250092032001,21,0,360,121,0,0,0,0,0,126,1063,1063,501,229
250092032002,21,42,352,133,13,0,70,0,0,22,960,877,366,176
250092032003,27,6,453,106,9,0,48,0,0,32,879,822,280,128
250092032004,18,20,304,105,21,0,21,0,19,0,753,692,405,193
250092032005,22,0,378,124,40,0,0,0,0,22,1059,1019,469,204
250092033011,22,10,419,62,21,0,31,0,0,109,841,789,395,181
250092033012,49,54,900,286,42,0,154,0,54,178,2130,1880,989,474
250092033013,14,37,262,55,0,9,30,0,21,9,517,457,319,152
250092033014,11,0,213,57,10,16,0,0,0,9,517,491,336,147
250092033021,37,38,781,268,0,41,0,0,0,94,1814,1773,544,249
250092033022,41,0,868,294,0,0,163,0,0,77,2105,1942,936,437
250092033023,24,0,503,55,0,43,17,0,18,127,890,812,435,207
250092041011,96,18,520,76,90,0,52,0,11,161,1093,940,565,271
250092041012,76,117,410,188,35,92,553,0,59,371,1743,1004,986,518
250092041013,119,9,639,102,12,39,398,0,0,313,1476,1027,558,283
250092041014,44,0,240,46,0,15,21,0,0,64,499,463,276,135
250092041021,38,102,904,227,41,192,513,0,80,288,2130,1304,1028,510
250092041022,37,14,901,141,11,112,129,0,202,87,2886,2432,1446,745
250092042001,130,158,614,189,0,80,274,0,218,646,1724,1152,633,340
250092042002,61,21,289,43,0,0,96,0,35,247,537,406,415,214
250092042003,133,16,626,114,0,13,192,0,37,130,1406,1164,702,364
250092042004,90,0,426,73,0,15,362,0,30,83,921,514,450,229
250092042005,78,0,368,65,0,0,17,0,0,62,528,511,548,302
250092043001,254,11,734,37,82,14,39,0,23,190,1146,988,693,360
250092043002,186,211,537,295,0,294,1080,0,54,546,1840,412,774,450
250092043003,190,127,549,180,0,77,1213,0,0,515,1439,149,516,304
250092044001,32,26,284,73,57,6,18,0,0,18,667,586,447,214
250092044002,54,47,481,133,0,10,132,0,62,8,1018,814,666,323
250092044003,39,9,352,42,0,0,38,0,11,18,692,643,327,158
250092044004,63,18,567,129,9,108,196,0,8,125,1099,778,471,222
250092045001,80,8,555,150,24,132,55,75,71,117,1484,1127,671,351
250092045002,88,15,607,80,34,27,39,0,31,99,1013,882,648,335
250092045003,69,0,475,28,0,0,8,0,48,107,802,746,431,212
250092046001,109,131,707,180,0,0,474,0,0,273,1522,1048,686,343
250092046002,89,74,575,195,0,47,209,0,27,59,1528,1245,759,385
250092046003,43,0,283,15,0,0,22,0,0,0,538,516,342,160
250092046004,60,17,390,38,0,34,73,0,10,52,901,784,560,272
250092046005,46,0,300,47,20,17,37,0,105,53,604,425,534,268
250092047011,54,16,364,115,83,0,59,0,44,69,1060,874,434,221
250092047012,106,114,711,186,95,106,479,0,18,424,1532,834,855,456
250092047013,213,73,1429,341,17,0,756,42,36,384,3361,2510,1942,1028
250092047021,54,33,445,68,22,63,523,0,18,431,992,366,477,247
250092047022,142,107,1164,279,253,174,249,0,91,164,2800,2033,1754,918
250092047023,50,85,410,153,0,23,72,0,0,92,1306,1211,596,299
250092047024,44,14,366,188,0,183,17,0,62,51,1015,753,465,233
250092051001,36,0,373,78,136,56,111,0,46,57,884,535,739,404
250092051002,45,49,461,173,18,13,164,0,120,140,1292,977,696,383
250092051003,29,0,302,136,51,67,267,0,45,0,813,383,595,342
250092051004,36,0,378,74,62,188,28,0,105,59,1074,691,954,506
250092051005,32,24,330,115,53,0,685,0,0,70,1164,426,402,201
250092052001,20,52,438,127,0,66,477,0,0,128,978,435,449,248
250092052002,11,0,246,54,0,0,192,0,0,12,557,365,390,212
250092052003,21,72,460,253,44,167,944,51,0,238,1717,511,954,542
250092052004,19,20,420,164,479,138,330,0,0,9,1380,433,893,494
250092052005,17,0,383,230,0,13,384,0,0,115,1283,886,529,291
250092053001,31,9,559,131,171,21,344,0,0,10,1418,882,1019,532
250092053002,14,25,261,96,19,22,298,0,101,128,882,442,583,324
250092053003,19,0,339,102,0,0,5,0,42,28,869,822,570,297
